familia_id,semana_iso,semana_programa,enviados,entregados,leidos,fallidos,facturables,categorias_precio
ej-01,2026-W36,1,2,2,2,0,2,utility:2
ej-01,2026-W37,2,2,1,0,1,1,marketing:1
ej-01,2026-W38,3,2,2,2,0,2,utility:2
ej-01,2026-W39,4,2,2,2,0,2,utility:2
ej-01,2026-W40,5,2,2,2,0,2,utility:2
ej-01,2026-W41,6,2,1,1,1,1,utility:1
ej-01,2026-W42,7,2,2,2,0,2,utility:2
ej-01,2026-W43,8,2,2,0,0,2,utility:2
ej-02,2026-W37,1,1,1,1,0,1,utility:1
ej-02,2026-W38,2,1,1,0,0,1,utility:1
ej-02,2026-W39,3,1,1,0,0,1,marketing:1
ej-02,2026-W40,4,1,1,1,0,1,marketing:1
ej-02,2026-W41,5,1,1,1,0,1,utility:1
ej-02,2026-W42,6,1,1,1,0,1,utility:1
ej-02,2026-W43,7,1,1,0,0,1,utility:1
ej-02,2026-W44,8,1,1,1,0,1,utility:1
ej-03,2026-W38,1,1,1,1,0,1,utility:1
ej-03,2026-W39,2,1,1,1,0,1,marketing:1
ej-03,2026-W40,3,1,1,1,0,1,utility:1
ej-03,2026-W41,4,1,1,1,0,1,marketing:1
ej-03,2026-W42,5,1,1,0,0,1,utility:1
ej-03,2026-W43,6,1,1,1,0,1,marketing:1
ej-03,2026-W44,7,1,1,1,0,1,marketing:1
ej-03,2026-W45,8,1,1,1,0,1,marketing:1
ej-04,2026-W38,1,2,2,2,0,2,utility:2
ej-04,2026-W39,2,2,1,0,1,1,utility:1
ej-04,2026-W40,3,2,2,2,0,2,utility:2
ej-04,2026-W41,4,2,2,0,0,2,utility:2
ej-04,2026-W42,5,2,2,2,0,2,utility:2
ej-04,2026-W43,6,2,2,2,0,2,utility:2
ej-04,2026-W44,7,2,2,2,0,2,utility:2
ej-04,2026-W45,8,2,2,0,0,2,utility:2
ej-05,2026-W39,1,1,1,1,0,1,utility:1
ej-05,2026-W40,2,1,1,1,0,1,utility:1
ej-05,2026-W41,3,1,1,1,0,1,utility:1
ej-05,2026-W42,4,1,1,0,0,1,utility:1
ej-05,2026-W43,5,1,1,0,0,1,utility:1
ej-05,2026-W44,6,1,1,0,0,1,utility:1
ej-05,2026-W45,7,1,1,1,0,1,utility:1
ej-05,2026-W46,8,1,1,0,0,1,utility:1
ej-06,2026-W40,1,1,1,1,0,1,utility:1
ej-06,2026-W41,2,1,1,1,0,1,utility:1
ej-06,2026-W42,3,1,0,0,1,0,utility:0
ej-06,2026-W43,4,1,1,1,0,1,utility:1
ej-06,2026-W44,5,1,0,0,1,0,utility:0
ej-06,2026-W45,6,1,0,0,1,0,utility:0
ej-06,2026-W46,7,1,1,1,0,1,marketing:1
ej-06,2026-W47,8,1,1,1,0,1,utility:1
ej-07,2026-W41,1,2,2,0,0,2,utility:2
ej-07,2026-W42,2,2,2,2,0,2,utility:2
ej-07,2026-W43,3,2,2,2,0,2,marketing:2
ej-07,2026-W44,4,2,2,0,0,2,utility:2
ej-08,2026-W42,1,1,1,1,0,1,utility:1
ej-08,2026-W43,2,1,1,0,0,1,utility:1
ej-08,2026-W44,3,1,1,1,0,1,utility:1
ej-08,2026-W45,4,1,1,0,0,1,utility:1
ej-08,2026-W46,5,1,1,0,0,1,utility:1
ej-08,2026-W47,6,1,1,1,0,1,utility:1
ej-09,2026-W44,1,1,1,0,0,1,utility:1
ej-09,2026-W45,2,1,1,0,0,1,marketing:1
ej-09,2026-W46,3,1,1,1,0,1,utility:1
ej-09,2026-W47,4,1,1,1,0,1,utility:1
ej-10,2026-W45,1,2,2,2,0,2,marketing:2
ej-10,2026-W46,2,2,2,2,0,2,utility:2
ej-10,2026-W47,3,2,2,2,0,2,utility:2
ej-11,2026-W46,1,1,1,1,0,1,marketing:1
ej-11,2026-W47,2,1,1,0,0,1,utility:1
ej-12,2026-W47,1,1,1,1,0,1,marketing:1
