familia_id,clinica,estado,fecha_ancla,semanas_transcurridas,semanas_activas,adherencia,es_adherente,semana_baja,cuidadores,cuidadores_con_opt_in,entradas_bitacora,dias_distintos,dias_con_lectura,minutos_totales,entradas_lectura,entradas_cancion,entradas_juego,entradas_conversacion,entradas_cuidador_principal,entradas_cuidador_secundario,envios_realizados,envios_entregados,envios_leidos,mensajes_facturables,feedback_total,feedback_abierto,feedback_por_whatsapp
ej-01,CLINICA-EJEMPLO,activa,2026-09-01,8,8,1.000,1,,2,2,16,15,8,220,8,4,2,2,14,2,16,14,11,14,2,0,2
ej-02,CLINICA-EJEMPLO,activa,2026-09-08,8,6,0.750,1,,1,1,13,12,5,190,5,2,2,4,13,0,8,8,5,8,1,0,0
ej-03,CLINICA-EJEMPLO,activa,2026-09-15,8,4,0.500,1,,1,1,7,6,4,95,5,1,0,1,7,0,8,8,7,8,0,0,0
ej-04,CLINICA-EJEMPLO,activa,2026-09-15,8,0,0.000,0,,2,2,0,0,0,0,0,0,0,0,0,0,16,15,10,15,1,1,0
ej-05,CLINICA-EJEMPLO,activa,2026-09-22,8,1,0.125,0,,1,1,2,2,1,15,1,0,0,1,2,0,8,8,4,8,1,0,1
ej-06,CLINICA-EJEMPLO,activa,2026-09-29,8,6,0.750,1,,1,1,10,10,6,185,6,1,1,2,10,0,8,5,5,5,2,0,1
ej-07,CLINICA-EJEMPLO,baja,2026-10-06,8,1,0.125,0,5,2,0,3,3,1,45,1,0,1,1,1,2,8,8,4,8,2,0,1
ej-08,CLINICA-EJEMPLO,activa,2026-10-13,7,5,0.714,1,,1,1,12,10,7,135,8,2,1,1,12,0,6,6,3,6,1,0,0
ej-09,CLINICA-EJEMPLO,activa,2026-10-27,5,3,0.600,1,,1,1,5,5,2,65,2,1,1,1,5,0,4,4,2,4,1,0,0
ej-10,CLINICA-EJEMPLO,activa,2026-11-03,4,0,0.000,0,,2,2,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0
ej-11,CLINICA-EJEMPLO,activa,2026-11-10,3,2,0.667,1,,1,1,4,4,2,40,2,0,1,1,4,0,2,2,1,2,0,0,0
ej-12,CLINICA-EJEMPLO,activa,2026-11-17,2,0,0.000,0,,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
